module,doctype,fieldname,label,fieldtype,pg_type,options,reqd,unique,index,read_only,default,fetch_from
Accounts,Bank Guarantee,end_date,End Date,Date,date,,0,0,0,1,,
Accounts,Bank Guarantee,bank,Bank,Link,varchar(140),Bank,0,0,0,0,,
Accounts,Bank Guarantee,bank_account,Bank Account,Link,varchar(140),Bank Account,0,0,0,0,,
Accounts,Bank Guarantee,account,Account,Link,varchar(140),Account,0,0,0,1,,
Accounts,Bank Guarantee,bank_account_no,Bank Account No,Data,varchar(140),,0,0,0,1,,
Accounts,Bank Guarantee,iban,IBAN,Data,varchar(140),IBAN,0,0,0,1,,
Accounts,Bank Guarantee,branch_code,Branch Code,Data,varchar(140),,0,0,0,1,,
Accounts,Bank Guarantee,swift_number,SWIFT number,Data,varchar(140),,0,0,0,1,,
Accounts,Bank Guarantee,more_information,Clauses and Conditions,Text Editor,text,,0,0,0,0,,
Accounts,Bank Guarantee,bank_guarantee_number,Bank Guarantee Number,Data,varchar(140),,0,1,0,0,,
Accounts,Bank Guarantee,name_of_beneficiary,Name of Beneficiary,Data,varchar(140),,0,0,0,0,,
Accounts,Bank Guarantee,margin_money,Margin Money,Currency,"numeric(21,9)",,0,0,0,0,,
Accounts,Bank Guarantee,charges,Charges Incurred,Currency,"numeric(21,9)",,0,0,0,0,,
Accounts,Bank Guarantee,fixed_deposit_number,Fixed Deposit Number,Data,varchar(140),,0,0,0,0,,
Accounts,Bank Guarantee,amended_from,Amended From,Link,varchar(140),Bank Guarantee,0,0,0,1,,
Accounts,Bank Reconciliation Tool,company,Company,Link,varchar(140),Company,0,0,0,0,,
Accounts,Bank Reconciliation Tool,bank_account,Bank Account,Link,varchar(140),Bank Account,0,0,0,0,,
Accounts,Bank Reconciliation Tool,bank_statement_from_date,From Date,Date,date,,0,0,0,0,,
Accounts,Bank Reconciliation Tool,bank_statement_to_date,To Date,Date,date,,0,0,0,0,,
Accounts,Bank Reconciliation Tool,account_opening_balance,Account Opening Balance,Currency,"numeric(21,9)",account_currency,0,0,0,1,,
Accounts,Bank Reconciliation Tool,bank_statement_closing_balance,Closing Balance,Currency,"numeric(21,9)",account_currency,0,0,0,0,,
Accounts,Bank Reconciliation Tool,from_reference_date,From Reference Date,Date,date,,0,0,0,0,,
Accounts,Bank Reconciliation Tool,to_reference_date,To Reference Date,Date,date,,0,0,0,0,,
Accounts,Bank Reconciliation Tool,filter_by_reference_date,Filter by Reference Date,Check,smallint,,0,0,0,0,0,
Accounts,Bank Reconciliation Tool,account_currency,Account Currency,Link,varchar(140),Currency,0,0,0,0,,
Accounts,Bank Statement Import,company,Company,Link,varchar(140),Company,1,0,0,0,,
Accounts,Bank Statement Import,bank_account,Bank Account,Link,varchar(140),Bank Account,1,0,0,0,,
Accounts,Bank Statement Import,bank,Bank,Link,varchar(140),Bank,0,0,0,1,,bank_account.bank
Accounts,Bank Statement Import,import_file,Import File,Attach,text,,0,0,0,0,,
Accounts,Bank Statement Import,template_options,Template Options,Code,text,JSON,0,0,0,1,,
Accounts,Bank Statement Import,status,Status,Select,varchar(140),Pending|Success|Partial Success|Error,0,0,0,1,Pending,
Accounts,Bank Statement Import,template_warnings,Template Warnings,Code,text,JSON,0,0,0,0,,
Accounts,Bank Statement Import,show_failed_logs,Show Failed Logs,Check,smallint,,0,0,0,0,0,
Accounts,Bank Statement Import,google_sheets_url,Import from Google Sheets,Data,varchar(140),,0,0,0,0,,
